<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBERP,M,20110401,000000,72.9200000,75.4200000,66.3500000,67.1500000,589768100
SBERP,M,20110501,000000,67.0000000,70.1500000,62.7800000,66.0400000,398033500
SBERP,M,20110601,000000,66.2100000,75.7400000,64.3000000,75.1000000,601692600
SBERP,M,20110701,000000,75.2900000,83.6000000,74.8100000,82.6300000,460771500
SBERP,M,20110801,000000,84.0000000,84.9000000,64.1700000,71.0000000,653700000
SBERP,M,20110901,000000,71.0000000,71.9300000,52.9500000,54.4700000,544805500
SBERP,M,20111001,000000,53.0000000,65.1300000,46.2500000,63.8800000,869099700
SBERP,M,20111101,000000,63.0800000,67.8000000,57.1300000,67.5000000,575279800
SBERP,M,20111201,000000,68.3000000,69.2900000,57.1100000,59.2400000,519675900
SBERP,M,20120101,000000,59.8300000,66.9900000,59.7000000,66.0000000,351943500
SBERP,M,20120201,000000,65.7800000,76.7000000,65.1200000,75.9500000,396923500
SBERP,M,20120301,000000,75.3800000,83.8300000,73.2300000,77.8000000,583517200
SBERP,M,20120401,000000,78.5400000,79.4600000,68.1300000,68.6400000,410456700
SBERP,M,20120501,000000,69.0200000,70.8000000,56.0500000,60.9000000,433803600
SBERP,M,20120601,000000,60.6500000,62.6900000,53.4600000,62.5200000,457928900
SBERP,M,20120701,000000,62.3800000,68.0100000,60.5000000,63.3000000,432552700
SBERP,M,20120801,000000,63.0500000,71.5900000,62.3200000,68.4700000,421855600
SBERP,M,20120901,000000,68.5100000,77.7000000,65.5200000,66.2500000,397043300
SBERP,M,20121001,000000,65.9700000,70.0500000,65.7000000,66.0900000,294357400
SBERP,M,20121101,000000,65.8500000,67.4400000,60.8900000,66.0000000,296913100
SBERP,M,20121201,000000,66.4300000,69.1100000,66.2200000,67.3000000,196566200
SBERP,M,20130101,000000,68.9900000,79.7500000,68.7200000,78.1100000,318171800
SBERP,M,20130201,000000,78.6700000,80.7600000,72.3700000,74.3400000,327116800
SBERP,M,20130301,000000,74.0100000,77.7200000,71.3200000,75.1200000,310779300
SBERP,M,20130401,000000,74.8900000,75.8700000,66.5000000,72.3800000,329634000
SBERP,M,20130501,000000,72.0300000,79.8000000,71.5000000,72.6000000,256794400
SBERP,M,20130601,000000,71.9500000,74.2000000,67.8300000,69.9600000,185717900
SBERP,M,20130701,000000,69.6000000,77.9500000,69.1200000,74.6200000,156059100
SBERP,M,20130801,000000,74.9900000,76.2000000,68.5800000,70.0000000,136913000
SBERP,M,20130901,000000,70.5000000,78.9900000,69.8600000,74.7000000,191482400
SBERP,M,20131001,000000,74.6500000,83.3200000,74.6100000,82.9800000,248867200
SBERP,M,20131101,000000,82.8500000,86.1300000,81.7000000,84.8500000,189755100
SBERP,M,20131201,000000,84.8800000,85.1600000,78.7100000,80.2100000,192322900
SBERP,M,20140101,000000,79.5000000,81.8400000,74.8500000,75.0900000,163291200
SBERP,M,20140201,000000,75.3900000,80.3500000,73.7500000,75.4400000,208264200
SBERP,M,20140301,000000,71.6700000,74.5000000,55.5200000,67.3000000,549839800
SBERP,M,20140401,000000,67.3900000,68.2500000,54.9300000,60.1600000,462612000
SBERP,M,20140501,000000,58.0000000,71.0500000,58.0000000,68.6500000,407198900
SBERP,M,20140601,000000,69.0000000,74.0000000,66.2600000,69.0000000,247837500
SBERP,M,20140701,000000,69.0100000,70.0000000,55.6100000,57.1500000,363203200
SBERP,M,20140801,000000,56.8000000,59.5900000,50.5800000,55.1300000,487639800
SBERP,M,20140901,000000,55.4400000,62.1700000,54.1700000,57.7500000,428094700
SBERP,M,20141001,000000,57.0900000,58.3200000,53.8100000,56.9000000,349501600
SBERP,M,20141101,000000,56.7700000,57.9700000,51.8000000,52.2500000,473894400
SBERP,M,20141201,000000,51.9100000,53.6600000,36.5400000,37.7000000,824579900
SBERP,M,20150101,000000,37.0000000,47.0000000,36.9000000,43.8400000,405827800
SBERP,M,20150201,000000,44.2500000,55.5400000,41.8900000,53.7000000,475837300
SBERP,M,20150301,000000,53.8200000,55.3800000,44.0000000,45.6300000,332451500
SBERP,M,20150401,000000,45.4500000,54.9900000,45.1100000,50.0000000,530217300
SBERP,M,20150501,000000,49.8900000,53.2200000,47.3200000,48.2500000,394290200
SBERP,M,20150601,000000,48.2500000,54.2900000,46.6600000,48.3200000,334556900
SBERP,M,20150701,000000,48.4000000,51.8400000,46.0000000,51.3900000,259778000
SBERP,M,20150801,000000,50.8500000,54.5400000,49.0500000,54.3400000,238065000
SBERP,M,20150901,000000,54.3600000,58.1900000,52.8200000,58.0500000,232442300
SBERP,M,20151001,000000,58.3300000,68.6900000,56.2100000,68.4900000,343232400
SBERP,M,20151101,000000,68.2000000,80.3000000,66.8700000,76.2000000,264095400
SBERP,M,20151201,000000,76.5300000,77.1100000,68.1200000,76.5000000,289435800
SBERP,M,20160101,000000,76.4100000,76.5000000,63.4500000,68.5000000,272887400
SBERP,M,20160201,000000,68.6000000,76.9000000,67.1700000,76.9000000,215657500
SBERP,M,20160301,000000,77.0400000,80.6400000,75.0000000,79.0900000,201906500
SBERP,M,20160401,000000,78.3100000,84.9900000,74.1200000,84.0000000,274316800
SBERP,M,20160501,000000,82.5000000,93.4400000,81.2200000,91.5000000,173789100
SBERP,M,20160601,000000,91.3700000,99.2300000,85.4800000,90.0000000,231164500
SBERP,M,20160701,000000,90.1100000,98.9100000,87.0000000,98.8000000,158453100
SBERP,M,20160801,000000,99.7200000,104.7700000,95.6300000,101.9700000,123987100
SBERP,M,20160901,000000,102.6700000,112.6500000,102.1900000,105.8200000,112486200
SBERP,M,20161001,000000,106.5600000,114.9900000,106.0700000,111.5900000,106014300
SBERP,M,20161101,000000,112.2000000,119.8600000,104.4000000,116.0800000,101552600
SBERP,M,20161201,000000,117.0000000,131.4900000,114.7700000,129.7500000,105487600
SBERP,M,20170101,000000,130.0700000,136.6600000,121.7000000,128.6000000,82973600
SBERP,M,20170201,000000,128.8800000,131.6800000,118.3100000,118.8100000,66293700
SBERP,M,20170301,000000,119.0000000,127.2600000,116.1100000,120.8000000,92650200
SBERP,M,20170401,000000,120.7000000,126.9000000,109.8800000,125.8200000,88177600
SBERP,M,20170501,000000,126.4600000,133.9500000,123.7000000,124.6900000,91951200
SBERP,M,20170601,000000,124.8900000,127.8600000,104.8700000,120.2900000,107328200
SBERP,M,20170701,000000,120.7200000,138.4200000,119.3800000,134.9900000,97342300
SBERP,M,20170801,000000,135.5100000,159.0000000,135.1500000,157.9800000,80796600
SBERP,M,20170901,000000,157.9800000,164.4100000,155.5000000,155.7000000,96616300
SBERP,M,20171001,000000,155.7000000,164.2200000,155.2000000,158.5200000,62171400
SBERP,M,20171101,000000,158.4000000,203.0000000,158.0000000,184.5300000,123901300
SBERP,M,20171201,000000,185.9600000,199.4900000,181.5100000,189.0000000,60130800
SBERP,M,20180101,000000,190.6600000,218.5000000,190.4700000,217.4900000,65586800
SBERP,M,20180201,000000,218.4900000,235.0000000,198.8500000,227.0000000,80922600
SBERP,M,20180301,000000,224.2200000,231.7000000,205.0000000,214.1400000,96899700
SBERP,M,20180401,000000,214.7400000,221.5000000,168.4300000,196.2200000,237225930
SBERP,M,20180501,000000,195.2500000,203.6500000,193.0000000,196.0000000,86755300
SBERP,M,20180601,000000,195.4000000,198.4800000,177.0000000,186.5000000,118968670
SBERP,M,20180701,000000,186.3000000,195.8000000,172.1200000,182.4200000,107486700
SBERP,M,20180801,000000,182.3100000,182.9100000,151.0500000,159.4900000,141073800
SBERP,M,20180901,000000,158.6600000,173.3000000,143.6500000,171.0500000,158331000
SBERP,M,20181001,000000,172.4000000,172.4900000,154.1400000,163.3000000,115272800
SBERP,M,20181101,000000,163.5900000,176.1600000,161.3500000,169.0000000,103058160
SBERP,M,20181201,000000,171.5800000,174.7900000,160.0000000,166.1800000,73323470
SBERP,M,20190101,000000,166.0100000,186.4500000,165.3700000,186.1100000,86824160
SBERP,M,20190201,000000,186.2000000,187.9200000,174.0500000,180.1500000,94118450
SBERP,M,20190301,000000,180.7600000,191.6800000,176.5000000,188.2000000,88796370
SBERP,M,20190401,000000,188.9800000,209.7000000,188.5300000,198.3900000,131758380
SBERP,M,20190501,000000,199.2400000,208.0800000,197.5100000,205.5100000,103551130
SBERP,M,20190601,000000,204.6900000,221.9800000,203.7300000,205.6000000,136988650
SBERP,M,20190701,000000,207.2000000,210.9900000,200.5200000,202.9000000,77534660
SBERP,M,20190801,000000,202.4000000,202.4800000,186.5000000,194.8900000,100341500
SBERP,M,20190901,000000,195.5000000,208.1300000,195.0200000,201.0000000,79193900
SBERP,M,20191001,000000,201.1100000,217.8000000,197.5500000,212.5500000,96955670
SBERP,M,20191101,000000,212.3000000,220.3200000,210.6100000,212.5000000,72427430
SBERP,M,20191201,000000,213.5000000,229.5700000,210.5300000,228.3000000,70206580
SBERP,M,20200101,000000,229.6000000,241.2400000,222.2300000,227.1000000,97370110
SBERP,M,20200201,000000,224.8000000,243.4000000,210.0000000,215.1500000,139182850
SBERP,M,20200301,000000,221.0100000,224.2000000,160.0000000,176.8300000,342737450
SBERP,M,20200401,000000,172.0600000,188.2300000,165.5000000,177.2000000,262055850
SBERP,M,20200501,000000,176.5700000,185.5000000,172.0000000,181.6000000,203918040
SBERP,M,20200601,000000,183.3000000,202.6000000,182.5100000,188.7600000,164751260
SBERP,M,20200701,000000,190.0000000,210.0100000,188.9900000,205.4700000,127911870
SBERP,M,20200801,000000,206.0300000,222.5700000,204.0000000,215.5000000,172120190
SBERP,M,20200901,000000,216.2300000,224.1000000,207.4000000,221.8000000,207340300
SBERP,M,20201001,000000,222.0200000,222.5000000,191.0100000,192.9100000,210135890
SBERP,M,20201101,000000,192.6900000,230.5000000,189.2700000,229.2500000,233793870
SBERP,M,20201201,000000,229.5900000,253.8100000,227.5000000,242.0600000,166927450
SBERP,M,20210101,000000,242.0900000,261.9800000,237.3200000,237.7800000,129750680
SBERP,M,20210201,000000,239.5200000,253.4400000,238.1000000,249.4000000,92313670
SBERP,M,20210301,000000,250.8000000,273.2000000,248.7200000,270.9300000,134000240
SBERP,M,20210401,000000,271.0400000,286.8100000,261.7700000,283.5000000,147806180
SBERP,M,20210501,000000,285.0400000,299.5000000,275.4500000,293.2800000,136372570
SBERP,M,20210601,000000,294.5000000,296.2200000,278.7000000,282.1600000,69375150
SBERP,M,20210701,000000,281.8000000,289.6700000,270.4000000,288.7000000,68167630
SBERP,M,20210801,000000,290.2700000,312.5800000,285.4200000,308.6500000,75154100
SBERP,M,20210901,000000,308.1000000,320.1700000,305.0000000,317.2600000,61875240
SBERP,M,20211001,000000,316.3000000,357.0000000,313.8300000,322.3800000,122241360
SBERP,M,20211101,000000,323.2300000,335.4000000,280.3700000,291.8200000,147746220
SBERP,M,20211201,000000,294.7400000,300.7500000,248.0200000,279.0000000,199367530
SBERP,M,20220101,000000,279.9000000,293.0000000,216.5100000,255.5300000,424722090
SBERP,M,20220201,000000,256.0000000,267.2800000,101.0000000,131.3000000,502009960
SBERP,M,20220301,000000,130.0600000,157.9500000,123.0500000,145.9000000,50893460
SBERP,M,20220401,000000,149.5000000,178.0000000,117.0000000,130.4000000,125151880
SBERP,M,20220501,000000,130.4100000,132.2300000,115.3300000,119.9400000,43194690
